lemma_id,params,atoms,weights,kind
markov,"{""t"": ""2""}",0;2,1/2;1/2,exact
markov,"{""t"": ""3""}",0;3,2/3;1/3,exact
markov,"{""t"": ""5""}",0;5,4/5;1/5,exact
markov,"{""t"": ""10""}",0;10,9/10;1/10,exact
cantelli,"{""sigma2"": ""1"", ""t"": ""1/2""}",1/2;-2,4/5;1/5,exact
cantelli,"{""sigma2"": ""1"", ""t"": ""1""}",1;-1,1/2;1/2,exact
cantelli,"{""sigma2"": ""1"", ""t"": ""2""}",2;-1/2,1/5;4/5,exact
cantelli,"{""sigma2"": ""1"", ""t"": ""4""}",4;-1/4,1/17;16/17,exact
paley_zygmund,"{""m2"": ""2"", ""theta"": ""1/4""}","{""event"": [0.36, 0.84, 1.96], ""offevent"": [0.64, 0.16, 0.04]}",,split-moments
paley_zygmund,"{""m2"": ""2"", ""theta"": ""1/2""}","{""event"": [0.2, 0.6, 1.8], ""offevent"": [0.8, 0.4, 0.2]}",,split-moments
paley_zygmund,"{""m2"": ""2"", ""theta"": ""3/4""}","{""event"": [0.058823529, 0.294117647, 1.470588235], ""offevent"": [0.941176471, 0.705882353, 0.529411765]}",,split-moments
paley_zygmund,"{""m2"": ""3"", ""theta"": ""1/4""}","{""event"": [0.219512195, 0.804878049, 2.951219512], ""offevent"": [0.780487805, 0.195121951, 0.048780488]}",,split-moments
paley_zygmund,"{""m2"": ""3"", ""theta"": ""1/2""}","{""event"": [0.111111111, 0.555555556, 2.777777778], ""offevent"": [0.888888889, 0.444444444, 0.222222222]}",,split-moments
paley_zygmund,"{""m2"": ""3"", ""theta"": ""3/4""}","{""event"": [0.03030303, 0.272727273, 2.454545455], ""offevent"": [0.96969697, 0.727272727, 0.545454545]}",,split-moments
three_moment_tail,"{""m2"": ""2"", ""m3"": ""9/2"", ""t"": ""2""}","{""event"": [0.5, 1.0, 2.0, 4.309000746], ""support"": [0.5, -0.0, 0.0, 0.190999254]}",,split-moments
three_moment_tail,"{""m2"": ""2"", ""m3"": ""9/2"", ""t"": ""3""}","{""event"": [0.111111111, 0.333333333, 1.0, 3.0], ""support"": [0.888888889, 0.666666667, 1.0, 1.5]}",,split-moments
three_moment_tail,"{""m2"": ""2"", ""m3"": ""9/2"", ""t"": ""5""}","{""event"": [0.010526316, 0.052631579, 0.263157895, 1.315789473], ""support"": [0.989473684, 0.947368421, 1.736842105, 3.184210527]}",,split-moments
three_moment_tail,"{""m2"": ""2"", ""m3"": ""6"", ""t"": ""2""}","{""event"": [0.5, 1.0, 2.0, 5.563752777], ""support"": [0.5, 0.0, 0.0, 0.436247223]}",,split-moments
three_moment_tail,"{""m2"": ""2"", ""m3"": ""6"", ""t"": ""3""}","{""event"": [0.2, 0.6, 1.8, 5.689420912], ""support"": [0.8, 0.4, 0.2, 0.310579088]}",,split-moments
three_moment_tail,"{""m2"": ""2"", ""m3"": ""6"", ""t"": ""5""}","{""event"": [0.036363636, 0.181818182, 0.909090909, 4.545454545], ""support"": [0.963636364, 0.818181818, 1.090909091, 1.454545455]}",,split-moments
three_moment_tail,"{""m2"": ""2"", ""m3"": ""10"", ""t"": ""2""}","{""event"": [0.5, 1.0, 2.0, 8.880146757], ""support"": [0.5, -0.0, 0.0, 1.119853243]}",,split-moments
three_moment_tail,"{""m2"": ""2"", ""m3"": ""10"", ""t"": ""3""}","{""event"": [0.2, 0.6, 1.8, 8.840889641], ""support"": [0.8, 0.4, 0.2, 1.159110359]}",,split-moments
three_moment_tail,"{""m2"": ""2"", ""m3"": ""10"", ""t"": ""5""}","{""event"": [0.058823529, 0.294117647, 1.470588235, 8.939057598], ""support"": [0.941176471, 0.705882353, 0.529411765, 1.060942402]}",,split-moments
kurtosis_tail,"{""kappa"": ""5/4"", ""t"": ""1/2""}",-1/4 + sqrt(17)/4;-sqrt(17)/4 - 1/4,sqrt(17)/34 + 1/2;1/2 - sqrt(17)/34,exact
kurtosis_tail,"{""kappa"": ""5/4"", ""t"": ""4/5""}",4/5;-5/4,25/41;16/41,exact
kurtosis_tail,"{""kappa"": ""5/4"", ""t"": ""1""}",1;-1,1/2;1/2,exact
kurtosis_tail,"{""kappa"": ""5/4"", ""t"": ""6/5""}",6/5;-5/6,25/61;36/61,exact
kurtosis_tail,"{""kappa"": ""5/4"", ""t"": ""3/2""}",3/2;2*sqrt(5)/5;-2*sqrt(5)/5,4/29;25/58 - 3*sqrt(5)/58;3*sqrt(5)/58 + 25/58,exact
kurtosis_tail,"{""kappa"": ""5/4"", ""t"": ""2""}",2;sqrt(33)/6;-sqrt(33)/6,1/37;18/37 - 2*sqrt(33)/407;2*sqrt(33)/407 + 18/37,exact
kurtosis_tail,"{""kappa"": ""5/4"", ""t"": ""3""}",3;sqrt(62)/8;-sqrt(62)/8,1/257;128/257 - 6*sqrt(62)/7967;6*sqrt(62)/7967 + 128/257,exact
kurtosis_tail,"{""kappa"": ""5/4"", ""t"": ""4""}",4;sqrt(885)/30;-sqrt(885)/30,1/901;450/901 - 4*sqrt(885)/53159;4*sqrt(885)/53159 + 450/901,exact
kurtosis_tail,"{""kappa"": ""3/2"", ""t"": ""1/2""}","{""event"": [0.667242152, 0.467976621, 0.341857394, 0.257532784, 0.198297601], ""support"": [0.332757848, -0.467976621, 0.658142606, -0.925584036, 1.301702399]}",,split-moments
kurtosis_tail,"{""kappa"": ""3/2"", ""t"": ""4/5""}",4/5;-5/4,25/41;16/41,exact
kurtosis_tail,"{""kappa"": ""3/2"", ""t"": ""1""}",1;-1,1/2;1/2,exact
kurtosis_tail,"{""kappa"": ""3/2"", ""t"": ""6/5""}",6/5;-5/6,25/61;36/61,exact
