t,kappa,regime,proof_degree,deg2_value,true_value
1/2,5/4,IIIa,4,4/5,sqrt(17)/34 + 1/2
4/5,5/4,I,2,25/41,25/41
1,5/4,I,2,1/2,1/2
6/5,5/4,I,2,25/61,25/61
3/2,5/4,II,4,4/13,4/29
2,5/4,II,4,1/5,1/37
3,5/4,II,4,1/10,1/257
4,5/4,II,4,1/17,1/901
1/2,3/2,IIIb,4,4/5,0.667242151564
4/5,3/2,I,2,25/41,25/41
1,3/2,I,2,1/2,1/2
6/5,3/2,I,2,25/61,25/61
3/2,3/2,II,4,4/13,8/33
2,3/2,II,4,1/5,1/19
3,3/2,II,4,1/10,1/129
4,3/2,II,4,1/17,1/451
1/2,2,IIIb,4,4/5,0.726255878543
4/5,2,I,2,25/41,25/41
1,2,I,2,1/2,1/2
6/5,2,I,2,25/61,25/61
3/2,2,I,2,4/13,4/13
2,2,II,4,1/5,1/10
3,2,II,4,1/10,1/65
4,2,II,4,1/17,1/226
1/2,3,IIIb,4,4/5,0.789626514727
4/5,3,I,2,25/41,25/41
1,3,I,2,1/2,1/2
6/5,3,I,2,25/61,25/61
3/2,3,I,2,4/13,4/13
2,3,II,4,1/5,2/11
3,3,II,4,1/10,1/33
4,3,II,4,1/17,2/227
1/2,6,I,2,4/5,4/5
4/5,6,I,2,25/41,25/41
1,6,I,2,1/2,1/2
6/5,6,I,2,25/61,25/61
3/2,6,I,2,4/13,4/13
2,6,I,2,1/5,1/5
3,6,II,4,1/10,5/69
4,6,II,4,1/17,1/46
1/2,9,I,2,4/5,4/5
4/5,9,I,2,25/41,25/41
1,9,I,2,1/2,1/2
6/5,9,I,2,25/61,25/61
3/2,9,I,2,4/13,4/13
2,9,I,2,1/5,1/5
3,9,I,2,1/10,1/10
4,9,II,4,1/17,8/233
